"horizon","threshold","sensitivity","specificity","ppv","npv","f1","net_benefit"
"12h","0.1","0.9591836734693877","0.8855421686746988","0.7121212121212122","0.9865771812080537","0.8173913043478261","0.20878552971576228"
"12h","0.3","0.9387755102040817","0.927710843373494","0.7931034482758621","0.9808917197452229","0.8598130841121495","0.19003322259136213"
"12h","0.5","0.7959183673469388","0.9457831325301205","0.8125","0.9401197604790419","0.8041237113402062","0.13953488372093026"
"24h","0.1","0.9841269841269841","0.9323308270676691","0.8732394366197183","0.992","0.9253731343283582","0.3112244897959184"
"24h","0.3","0.9841269841269841","0.9398496240601504","0.8857142857142857","0.9920634920634921","0.9323308270676691","0.29883381924198255"
"24h","0.5","0.9682539682539683","0.9548872180451128","0.9104477611940298","0.9844961240310077","0.9384615384615385","0.2806122448979592"
"48h","0.1","1.0","0.95","0.9295774647887324","1.0","0.9635036496350365","0.39424364123159306"
"48h","0.3","0.9848484848484849","0.95","0.9285714285714286","0.9895833333333334","0.9558823529411765","0.378657487091222"
"48h","0.5","0.9696969696969697","0.96","0.9411764705882353","0.9795918367346939","0.9552238805970149","0.3614457831325301"
